timestamp,num_edges,is_anomaly,anomaly_type
0,300,False,normal
1,299,False,normal
2,297,False,normal
3,300,False,normal
4,299,False,normal
5,298,False,normal
6,300,False,normal
7,299,False,normal
8,300,False,normal
9,299,False,normal
10,300,False,normal
11,299,False,normal
12,300,False,normal
13,299,False,normal
14,298,False,normal
15,319,True,star_burst
16,299,False,normal
17,300,False,normal
18,298,False,normal
19,300,False,normal
20,299,False,normal
21,298,False,normal
22,298,False,normal
23,299,False,normal
24,299,False,normal
25,300,False,normal
26,300,False,normal
27,300,False,normal
28,300,False,normal
29,300,False,normal
30,343,True,clique
31,300,False,normal
32,299,False,normal
33,299,False,normal
34,298,False,normal
35,298,False,normal
36,300,False,normal
37,299,False,normal
38,299,False,normal
39,299,False,normal
40,299,False,normal
41,298,False,normal
42,299,False,normal
43,299,False,normal
44,300,False,normal
45,269,True,disconnection
46,300,False,normal
47,300,False,normal
48,299,False,normal
49,299,False,normal
