source,target,rating,timestamp,target_is_suspicious,source_is_suspicious
7188,1,10,1407470400,False,False
430,1,10,1376539200,False,True
3134,1,10,1369713600,False,False
3026,1,10,1350014400,False,False
3010,1,10,1347854400,False,False
804,1,10,1337572800,False,False
160,1,10,1394683200,False,False
95,1,9,1384578000,False,False
377,1,7,1414728000,False,False
888,1,7,1365652800,False,False
89,1,7,1351742400,False,False
1901,1,6,1411790400,False,False
161,1,6,1413345600,False,False
256,1,6,1342584000,False,False
351,1,5,1416373200,False,False
3329,1,5,1389934800,False,False
3341,1,5,1388984400,False,False
649,1,5,1384491600,False,False
1583,1,5,1380945600,False,False
87,1,5,1381809600,False,False
37,1,5,1374033600,False,False
309,1,5,1378353600,False,False
821,1,5,1368676800,False,False
1496,1,5,1394168400,False,False
637,1,5,1364961600,False,False
964,1,5,1350100800,False,False
594,1,5,1370836800,False,False
2249,1,5,1360386000,False,False
554,1,5,1346126400,False,False
20,1,5,1343275200,False,False
2227,1,5,1353301200,False,False
1315,1,5,1334635200,False,False
519,1,5,1344571200,False,False
1316,1,5,1332216000,False,False
2149,1,5,1326949200,False,False
1724,1,5,1322802000,False,False
18,1,5,1315022400,False,False
57,1,5,1314158400,False,False
118,1,4,1414123200,False,False
3254,1,4,1373342400,False,False
1177,1,4,1371009600,False,False
112,1,4,1355634000,False,False
11,1,4,1374984000,False,False
586,1,4,1314763200,False,False
35,1,4,1330578000,False,False
15,1,4,1319860800,False,False
1445,1,4,1309752000,False,False
152,1,4,1354078800,False,False
2,1,4,1411963200,False,False
113,1,4,1311307200,False,False
44,1,3,1415854800,False,False
2401,1,3,1390626000,False,False
10,1,3,1375243200,False,False
2378,1,3,1378612800,False,False
126,1,3,1374206400,False,False
3245,1,3,1369972800,False,False
783,1,3,1368676800,False,False
493,1,3,1362114000,False,False
1358,1,3,1372737600,False,False
1180,1,3,1378267200,False,False
529,1,3,1361595600,False,False
333,1,3,1357275600,False,False
1538,1,3,1358744400,False,False
2282,1,3,1353819600,False,False
1519,1,3,1363924800,False,False
2966,1,3,1342238400,False,False
